icd10,disease_bn,sentence_no,symptom_en,source
J00,সাধারণ সর্দি-কাশি,18,"nose is running and the throat feels irritated, no fever",expansion_v1
J00,সাধারণ সর্দি-কাশি,19,"sneezing fits with clear nasal discharge, otherwise feels fine",expansion_v1
J00,সাধারণ সর্দি-কাশি,20,stuffy nose and sneezing after being caught in the rain,expansion_v1
J00,সাধারণ সর্দি-কাশি,21,"mild sore throat with a runny nose, no cough or fever",expansion_v1
J00,সাধারণ সর্দি-কাশি,22,watery nasal discharge and frequent sneezing today,expansion_v1
J00,সাধারণ সর্দি-কাশি,23,"nose blocked at night, sneezing during the day",expansion_v1
J00,সাধারণ সর্দি-কাশি,24,sneezing and a runny nose with slightly watery eyes,expansion_v1
J00,সাধারণ সর্দি-কাশি,25,"cold symptoms — runny nose, sneezing, scratchy throat, nothing more",expansion_v1
K30,গ্যাস্ট্রিক/অম্লতা,16,burning sensation in the chest that worsens after spicy meals,expansion_v1
K30,গ্যাস্ট্রিক/অম্লতা,17,acidic taste rising into the throat after eating,expansion_v1
K30,গ্যাস্ট্রিক/অম্লতা,18,stomach discomfort right after meals with a sour belch,expansion_v1
K30,গ্যাস্ট্রিক/অম্লতা,19,"burning in the upper stomach area, relieved somewhat by eating",expansion_v1
K30,গ্যাস্ট্রিক/অম্লতা,20,chest burns when lying down soon after dinner,expansion_v1
K30,গ্যাস্ট্রিক/অম্লতা,21,bloating and gas with a burning feeling in the chest,expansion_v1
K30,গ্যাস্ট্রিক/অম্লতা,22,"acid reflux symptoms after a heavy meal, no chest pain on exertion",expansion_v1
K30,গ্যাস্ট্রিক/অম্লতা,23,"stomach burns on an empty stomach, eases after eating something",expansion_v1
K30,গ্যাস্ট্রিক/অম্লতা,24,frequent belching with a burning sensation behind the breastbone,expansion_v1
K30,গ্যাস্ট্রিক/অম্লতা,25,indigestion and chest burning that comes and goes with meals,expansion_v1
N39.0,মূত্রনালীর সংক্রমণ,16,sharp burning sensation while urinating,expansion_v1
N39.0,মূত্রনালীর সংক্রমণ,17,urinating frequently in small amounts with discomfort,expansion_v1
N39.0,মূত্রনালীর সংক্রমণ,18,lower abdomen feels heavy along with painful urination,expansion_v1
N39.0,মূত্রনালীর সংক্রমণ,19,"cloudy, foul-smelling urine and a burning feeling when passing it",expansion_v1
N39.0,মূত্রনালীর সংক্রমণ,20,constant urge to urinate but very little comes out each time,expansion_v1
N39.0,মূত্রনালীর সংক্রমণ,21,pain in the lower belly and stinging during urination,expansion_v1
N39.0,মূত্রনালীর সংক্রমণ,22,urine appears darker than usual with a burning sensation,expansion_v1
N39.0,মূত্রনালীর সংক্রমণ,23,"frequent trips to the bathroom, urination itself is painful",expansion_v1
N39.0,মূত্রনালীর সংক্রমণ,24,burning while urinating along with lower back discomfort,expansion_v1
N39.0,মূত্রনালীর সংক্রমণ,25,urinary urgency and burning without much fever,expansion_v1
I10,উচ্চ রক্তচাপ,16,persistent heaviness at the back of the head with high blood pressure readings,expansion_v1
I10,উচ্চ রক্তচাপ,17,dizziness and blurred vision along with a high pressure reading,expansion_v1
I10,উচ্চ রক্তচাপ,18,"a throbbing headache at the back of the head, blood pressure measured high",expansion_v1
I10,উচ্চ রক্তচাপ,19,"feeling of pressure in the head, checked and blood pressure was elevated",expansion_v1
I10,উচ্চ রক্তচাপ,20,recurrent headaches with a known history of high blood pressure,expansion_v1
I10,উচ্চ রক্তচাপ,21,"head feels heavy most mornings, blood pressure machine shows high numbers",expansion_v1
I10,উচ্চ রক্তচাপ,22,"dizzy spells with a tight feeling in the head, pressure reading elevated",expansion_v1
I10,উচ্চ রক্তচাপ,23,ringing in the ears with a heavy head and high blood pressure,expansion_v1
I10,উচ্চ রক্তচাপ,24,blood pressure reading consistently high with mild headaches,expansion_v1
I10,উচ্চ রক্তচাপ,25,"neck stiffness and head heaviness, blood pressure found to be elevated",expansion_v1
E11.9,ডায়াবেটিস (টাইপ ২),16,excessive thirst that water does not seem to satisfy,expansion_v1
E11.9,ডায়াবেটিস (টাইপ ২),17,urinating frequently at night along with constant thirst,expansion_v1
E11.9,ডায়াবেটিস (টাইপ ২),18,unexplained weight loss despite eating normally,expansion_v1
E11.9,ডায়াবেটিস (টাইপ ২),19,wounds and cuts are healing very slowly,expansion_v1
E11.9,ডায়াবেটিস (টাইপ ২),20,increased hunger yet the body keeps losing weight,expansion_v1
E11.9,ডায়াবেটিস (টাইপ ২),21,blurred vision along with excessive thirst and frequent urination,expansion_v1
E11.9,ডায়াবেটিস (টাইপ ২),22,tingling sensation in the feet with a history of high blood sugar,expansion_v1
E11.9,ডায়াবেটিস (টাইপ ২),23,always feeling tired with frequent urination and thirst,expansion_v1
E11.9,ডায়াবেটিস (টাইপ ২),24,slow-healing sores on the foot with known high blood sugar,expansion_v1
E11.9,ডায়াবেটিস (টাইপ ২),25,"sugar level checked and found to be very high, feeling constantly thirsty",expansion_v1
B35.9,চর্মরোগ (ছত্রাক/দাদ),16,a ring-shaped patch on the skin with a raised itchy border,expansion_v1
B35.9,চর্মরোগ (ছত্রাক/দাদ),17,circular reddish patches spreading on the inner thigh,expansion_v1
B35.9,চর্মরোগ (ছত্রাক/দাদ),18,"flaky, itchy patches between the toes",expansion_v1
B35.9,চর্মরোগ (ছত্রাক/দাদ),19,a scaly patch on the scalp resembling severe dandruff,expansion_v1
B35.9,চর্মরোগ (ছত্রাক/দাদ),20,an itchy circular rash with a clear centre,expansion_v1
B35.9,চর্মরোগ (ছত্রাক/দাদ),21,peeling skin in the groin area with intense itching,expansion_v1
B35.9,চর্মরোগ (ছত্রাক/দাদ),22,ring-like patches on the skin that expand at the edges,expansion_v1
B35.9,চর্মরোগ (ছত্রাক/দাদ),23,athlete's foot type itching and peeling between the toes,expansion_v1
B35.9,চর্মরোগ (ছত্রাক/দাদ),24,several circular itchy patches appearing on the arms,expansion_v1
B35.9,চর্মরোগ (ছত্রাক/দাদ),25,a spreading ring-shaped rash that itches more with sweating,expansion_v1
B86,ঘা-পাঁচড়া,16,"intense itching all over the body, worse at night",expansion_v1
B86,ঘা-পাঁচড়া,17,small burrow-like lines visible on the wrists and between fingers,expansion_v1
B86,ঘা-পাঁচড়া,18,several family members have developed similar itching together,expansion_v1
B86,ঘা-পাঁচড়া,19,tiny itchy bumps on the palms and wrists,expansion_v1
B86,ঘা-পাঁচড়া,20,itching that keeps the whole family awake at night,expansion_v1
B86,ঘা-পাঁচড়া,21,small blister-like lesions between the fingers that itch severely,expansion_v1
B86,ঘা-পাঁচড়া,22,widespread itching with visible thread-like tracks on the skin,expansion_v1
B86,ঘা-পাঁচড়া,23,night-time itching that has now spread to a sibling as well,expansion_v1
B86,ঘা-পাঁচড়া,24,itchy rash concentrated around the waist and armpits,expansion_v1
B86,ঘা-পাঁচড়া,25,"persistent itching for weeks, worse under blankets at night",expansion_v1
M13.9,বাতের ব্যথা,16,"swollen, painful knee that is stiff first thing in the morning",expansion_v1
M13.9,বাতের ব্যথা,17,joint pain in multiple fingers with visible swelling,expansion_v1
M13.9,বাতের ব্যথা,18,morning stiffness in the joints lasting nearly an hour,expansion_v1
M13.9,বাতের ব্যথা,19,knees crack and hurt when climbing or descending stairs,expansion_v1
M13.9,বাতের ব্যথা,20,swollen joints that feel warm to the touch,expansion_v1
M13.9,বাতের ব্যথা,21,"difficulty making a fist due to stiff, painful finger joints",expansion_v1
M13.9,বাতের ব্যথা,22,pain in both knees that worsens with activity and eases with rest,expansion_v1
M13.9,বাতের ব্যথা,23,joints ache more in cold or damp weather,expansion_v1
M13.9,বাতের ব্যথা,24,"elderly patient with swollen knee joints, struggling to walk",expansion_v1
M13.9,বাতের ব্যথা,25,chronic joint pain with visible swelling in the hands,expansion_v1
H10.9,চোখ ওঠা,16,"red, itchy eyes with a sticky yellow discharge",expansion_v1
H10.9,চোখ ওঠা,17,both eyes are red with the eyelids stuck together each morning,expansion_v1
H10.9,চোখ ওঠা,18,"watery, red eye with a gritty sensation",expansion_v1
H10.9,চোখ ওঠা,19,yellow discharge crusting on the eyelashes overnight,expansion_v1
H10.9,চোখ ওঠা,20,one eye turned red and later the other eye followed,expansion_v1
H10.9,চোখ ওঠা,21,"red, swollen eyelid with continuous watering",expansion_v1
H10.9,চোখ ওঠা,22,itchy red eyes going around at school among classmates,expansion_v1
H10.9,চোখ ওঠা,23,eye feels irritated with a foreign-body sensation and redness,expansion_v1
H10.9,চোখ ওঠা,24,"child's eyes are red and gluey, especially on waking",expansion_v1
H10.9,চোখ ওঠা,25,conjunctiva looks inflamed with persistent yellowish discharge,expansion_v1
R07.9,বুকে ব্যথা,16,tight pressure in the chest that comes on with exertion and eases with rest,expansion_v1
R07.9,বুকে ব্যথা,17,chest pain radiating down the left arm with sweating,expansion_v1
R07.9,বুকে ব্যথা,18,sudden heavy pressure in the centre of the chest,expansion_v1
R07.9,বুকে ব্যথা,19,chest discomfort with shortness of breath and cold sweat,expansion_v1
R07.9,বুকে ব্যথা,20,squeezing sensation in the chest spreading to the jaw,expansion_v1
R07.9,বুকে ব্যথা,21,chest pain that worsens on climbing stairs,expansion_v1
R07.9,বুকে ব্যথা,22,pressure in the chest with nausea and dizziness,expansion_v1
R07.9,বুকে ব্যথা,23,left-sided chest pain radiating to the shoulder,expansion_v1
R07.9,বুকে ব্যথা,24,chest feels constricted with difficulty breathing during the episode,expansion_v1
R07.9,বুকে ব্যথা,25,recurrent chest tightness triggered by physical activity,expansion_v1
Z34.9,গর্ভাবস্থা,16,missed period for over a month with morning nausea,expansion_v1
Z34.9,গর্ভাবস্থা,17,"feeling nauseous at the smell of food, period is late",expansion_v1
Z34.9,গর্ভাবস্থা,18,"confirmed pregnancy test positive, feeling weak and tired",expansion_v1
Z34.9,গর্ভাবস্থা,19,morning sickness with a missed menstrual cycle,expansion_v1
Z34.9,গর্ভাবস্থা,20,breast tenderness and a missed period this month,expansion_v1
Z34.9,গর্ভাবস্থা,21,"nausea in the mornings along with unusual fatigue, period overdue",expansion_v1
Z34.9,গর্ভাবস্থা,22,"positive pregnancy test, now experiencing mild dizziness",expansion_v1
Z34.9,গর্ভাবস্থা,23,missed period with frequent urination and nausea,expansion_v1
Z34.9,গর্ভাবস্থা,24,"early pregnancy symptoms — nausea, fatigue, and a missed cycle",expansion_v1
Z34.9,গর্ভাবস্থা,25,"confirmed pregnant, feeling low energy and occasional nausea",expansion_v1
K08.8,দাঁতে ব্যথা,16,sharp pain in one tooth when biting down,expansion_v1
K08.8,দাঁতে ব্যথা,17,throbbing pain localized to the lower left molar,expansion_v1
K08.8,দাঁতে ব্যথা,18,tooth sensitive to cold water in one specific spot,expansion_v1
K08.8,দাঁতে ব্যথা,19,swollen gum around a particular tooth that hurts to touch,expansion_v1
K08.8,দাঁতে ব্যথা,20,constant ache in one tooth radiating to the ear,expansion_v1
K08.8,দাঁতে ব্যথা,21,"pain when chewing on one side, seems to be a specific tooth",expansion_v1
K08.8,দাঁতে ব্যথা,22,a cavity visible in one tooth causing sharp pain,expansion_v1
K08.8,দাঁতে ব্যথা,23,gum bleeding and tenderness localized around one tooth,expansion_v1
K08.8,দাঁতে ব্যথা,24,jaw pain on one side traced to a specific aching tooth,expansion_v1
K08.8,দাঁতে ব্যথা,25,"tooth pain that worsens with hot or cold food, one tooth only",expansion_v1
Z34.9,গর্ভাবস্থা,26,my monthly cycle did not come this time,pregnancy_targeted_fix
Z34.9,গর্ভাবস্থা,27,"it has been over a month since my last period, nothing since",pregnancy_targeted_fix
Z34.9,গর্ভাবস্থা,28,"feeling sick to the stomach every morning lately, cycle is late",pregnancy_targeted_fix
Z34.9,গর্ভাবস্থা,29,the usual monthly thing has not happened for weeks now,pregnancy_targeted_fix
Z34.9,গর্ভাবস্থা,30,morning sickness and a late cycle this month,pregnancy_targeted_fix
Z34.9,গর্ভাবস্থা,31,waiting for my period which is now quite overdue,pregnancy_targeted_fix
Z34.9,গর্ভাবস্থা,32,smells that never bothered me before now make me feel ill,pregnancy_targeted_fix
Z34.9,গর্ভাবস্থা,33,doctor confirmed there is a baby on the way,pregnancy_targeted_fix
Z34.9,গর্ভাবস্থা,34,we found out we are expecting our first child,pregnancy_targeted_fix
Z34.9,গর্ভাবস্থা,35,"test came back positive, we are expecting",pregnancy_targeted_fix
Z34.9,গর্ভাবস্থা,36,"body feels different lately, breasts are tender, cycle is late",pregnancy_targeted_fix
Z34.9,গর্ভাবস্থা,37,"expecting a baby in a few months, feeling unusually tired",pregnancy_targeted_fix
Z34.9,গর্ভাবস্থা,38,trying to conceive and now missed a cycle with morning nausea,pregnancy_targeted_fix
Z34.9,গর্ভাবস্থা,39,"family is excited, a new baby is expected soon",pregnancy_targeted_fix
Z34.9,গর্ভাবস্থা,40,"noticed the classic early signs — missed cycle, nausea, fatigue",pregnancy_targeted_fix
